player_image_url,player_name,player_country,player_club,player_position,player_stats_url,Nationality,Preferred Foot,Date of Birth,appearances_,sub_appearances,XA,pass_attempts,pass_accuracy,long_pass_attempts,long_pass_accuracy,Minutes Played,Duels Won,Total Tackles,Interceptions,Blocks,Red Cards,Yellow Cards,XG,Touches in the Opposition Box,Aerial Duels Won,Assists,Shots On Target Inside the Box,cross_attempts,cross_accuracy,dribble_attempts,dribble_accuracy,Fouls,Goals,Hit Woodwork,Offsides,Shots On Target Outside the Box,Corners Taken,Appearances,free_kick_attempts,free_kicks_scored,Passes,Own Goals,Penalties Taken,Goals Conceded,Clean Sheets,Saves Made,Penalties Faced,penalty_attempts,penalties_scored,penalties_saved,penalty_save_precentage
https://resources.premierleague.com/premierleague25/photos/players/110x140/577016.png,Josh Acheampong,England,Chelsea,Defender,https://www.premierleague.com/en/players/577016/josh-acheampong/stats,England,Right,05/05/2006,4,2,0.02,123,84,14,29,169,5,2,1,0,0,1,0.22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/109646.png,Tosin Adarabioyo,England,Chelsea,Defender,https://www.premierleague.com/en/players/109646/tosin-adarabioyo/stats,England,Right,24/09/1997,22,7,0.22,1177,91,90,47,1404,72,17,11,7,0,4,0.93,14,42,1,5,0,0,5,80,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Mathis Amougou,France,Chelsea,Midfielder,https://www.premierleague.com/en/players/609640/mathis-amougou/stats,France,Right,18/01/2006,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ato Ampah,England,Chelsea,Forward,https://www.premierleague.com/en/players/555853/ato-ampah/stats,England,Right,22/04/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/223332.png,Tino Anjorin,England,Chelsea,Midfielder,https://www.premierleague.com/en/players/223332/tino-anjorin/stats,England,,23/11/2001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Aarón Anselmino,Argentina,Chelsea,Defender,https://www.premierleague.com/en/players/622758/aaron-anselmino/stats,Argentina,Right,29/04/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Genesis Antwi,Sweden,Chelsea,Defender,https://www.premierleague.com/en/players/591382/genesis-antwi/stats,Sweden,Right,11/05/2007,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/242880.png,Benoît Badiashile,France,Chelsea,Defender,https://www.premierleague.com/en/players/242880/benoit-badiashile/stats,France,Left,26/03/2001,5,2,0.08,303,90,22,59,333,19,9,6,2,0,0,0.0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/474803.png,Eddie Beach,Wales,Chelsea,Goalkeeper,https://www.premierleague.com/en/players/474803/eddie-beach/stats,Wales,Right,09/10/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://resources.premierleague.com/premierleague25/photos/players/110x140/482158.png,Lucas Bergström,Finland,Chelsea,Goalkeeper,https://www.premierleague.com/en/players/482158/lucas-bergstrom/stats,Finland,Right,05/09/2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
